mirID	logFC	unshrunk.logFC	logCPM	PValue	DE
dme-miR-965-3p_MIMAT0005480 	0.660643482700968	0.660766447569994	4.77292827184703	0.171416062931201	0
dme-miR-965-5p_MIMAT0020861 	-0.243997642586612	-0.244088217607554	3.98971009185851	0.733265639814856	0
dme-miR-375-3p_MIMAT0005472 	-0.87915066198391	-0.879180320669033	7.55567858273099	0.0407577664799018	0
dme-miR-375-5p_MIMAT0020853 	-2.66297501557872	-2.68569701595903	-0.369463589572036	0.00856160199974888	0
dme-miR-4971-5p_MIMAT0020198 	-0.451361521974731	-0.45632404110459	-0.819568715748651	0.520448102839077	0
dme-miR-4972-3p_MIMAT0020200 	-0.249171245813144	-0.25085129615958	-0.776840473931391	0.73580796337012	0
dme-miR-1004-3p_MIMAT0005017 	-1.34750940796938	-1.34884946487884	2.8616290167512	0.0116427847783807	0
dme-miR-1004-5p_MIMAT0032027 	-0.79807083769486	-0.798128424745422	6.25843757658281	0.0258490719686951	0
dme-miR-1005-3p_MIMAT0005018 	1.01152258787193	1.01474335725412	0.829778755155237	0.0676467348909204	0
dme-miR-4912-5p_MIMAT0020505 	-1.14499043720251	-1.32678411134334	-2.39979583348659	0.551054180038696	0
dme-miR-2495-5p_MIMAT0012204 	-2.04630192721757	-2.29475863815306	-2.58679872971995	0.172945389171914	0
dme-miR-959-3p_MIMAT0005473 	-2.04295388999425	-2.0719285981276	-1.38904223940733	0.030835363750655	0
dme-miR-959-5p_MIMAT0020854 	-1.21928606077913	-1.26650810406663	-2.09026242391747	0.355638718275245	0
dme-miR-960-5p_MIMAT0005474 	-2.74832942618678	-2.80762714266958	-1.05283217517588	0.000134783872101887	-1
dme-miR-960-3p_MIMAT0020855 	-1.70168825465562	-1.78360608621272	-2.66431602150079	0.271538514420697	0
dme-miR-961-5p_MIMAT0005475 	-0.686630552192698	-0.699338182661625	-1.23281094688719	0.42980396264416	0
dme-miR-962-5p_MIMAT0005476 	1.63162901535539	1.72517787364969	-2.1027749626273	0.198114057288797	0
dme-miR-963-5p_MIMAT0005477 	1.40630973536661	1.44980271687336	-2.09132800264249	0.185014325253811	0
dme-miR-964-5p_MIMAT0005478 	-1.71886475159381	-1.77954207222729	-1.36273702487933	0.0468766205915726	0
dme-miR-964-3p_MIMAT0020859 	0.284559752010584	0.307738981661077	-2.50233609337722	0.838751786073179	0
dme-miR-966-5p_MIMAT0005481 	0.0292702537685321	0.0292787945608791	4.38015271385028	0.972954520515606	0
dme-miR-966-3p_MIMAT0020862 	0.559276717977657	0.653107182391632	-2.83782235660115	0.745981421597153	0
dme-miR-932-5p_MIMAT0005479 	0.647589790308552	0.647596504652416	9.32943008035577	0.201515123559898	0
dme-miR-932-3p_MIMAT0020860 	-0.380466230109068	-0.380495023227842	6.28899926205174	0.594940951899548	0
dme-miR-275-3p_MIMAT0000333 	0.844036566087115	0.84404662936416	8.79526231726445	0.0943039045693272	0
dme-miR-275-5p_MIMAT0020801 	0.508356400883546	0.508376483781109	7.25785068116237	0.372006131809166	0
dme-miR-305-5p_MIMAT0000391 	0.536682200522002	0.536683406518702	11.392873344372	0.312709731192807	0
dme-miR-305-3p_MIMAT0020827 	0.0355528112238574	0.0355528441559147	12.3194316780591	0.959221114020009	0
dme-miR-4984-3p_MIMAT0020220 	0.120914085055298	0.122108433345568	-0.801022623048819	0.855746753369939	0
dme-miR-2b-3p_MIMAT0000107 	0.264443683758493	0.264445310804456	9.95443301740306	0.739774536465569	0
